PLAYER NAME;TEAM;EFF;8+D%;TLOS;ATT;YDS;AVG;TD;;;;;;;;;
Miles Sanders;PHI;3.89;11.73;2.96;179;818;4.6;3;;;;;;;;;
David Montgomery;CHI;4.05;19.83;2.75;242;889;3.7;6;;;;;;;;;
David Johnson;ARI;4.25;5.32;2.91;94;345;3.7;2;;;;;;;;;
Josh Jacobs;LV;3.56;20.25;2.67;242;1150;4.8;7;;;;;;;;;
Chris Carson;SEA;3.9;21.22;2.88;278;1230;4.4;7;;;;;;;;;
Adrian Peterson;WAS;3.89;29.38;2.89;211;898;4.3;5;;;;;;;;;
Aaron Jones;GB;3.99;20.76;2.75;236;1084;4.6;16;;;;;;;;;
Bo Scarbrough;DET;3.68;20.22;2.69;89;377;4.2;1;;;;;;;;;
Melvin Gordon;LAC;4.16;12.35;2.74;162;612;3.8;8;;;;;;;;;
Latavius Murray;NO;3.56;35.62;2.65;146;637;4.4;5;;;;;;;;;
Joe Mixon;CIN;3.95;7.91;2.87;278;1137;4.1;5;;;;;;;;;
Royce Freeman;DEN;4.3;15.91;2.88;132;496;3.8;3;;;;;;;;;
Frank Gore;BUF;3.77;37.35;2.62;166;599;3.6;2;;;;;;;;;
Christian McCaffrey;CAR;3.46;23.34;2.71;287;1387;4.8;15;;;;;;;;;
Carlos Hyde;HOU;3.55;14.69;2.77;245;1070;4.4;6;;;;;;;;;
Alvin Kamara;NO;3.81;16.37;2.77;171;797;4.7;5;;;;;;;;;
Kerryon Johnson;DET;4.03;29.2;2.73;113;403;3.6;3;;;;;;;;;
Peyton Barber;TB;4.16;33.12;2.68;154;470;3.1;6;;;;;;;;;
Tevin Coleman;SF;4.28;40.15;2.9;137;544;4;6;;;;;;;;;
Marlon Mack;IND;3.94;12.15;3.07;247;1091;4.4;8;;;;;;;;;
Damien Williams;KC;4;8.11;2.91;111;498;4.5;5;;;;;;;;;
Todd Gurley;LAR;4.43;24.22;2.97;223;857;3.8;12;;;;;;;;;
Tony Pollard;DAL;3.47;12.79;3.11;86;455;5.3;2;;;;;;;;;
Devin Singletary;BUF;3.52;5.3;2.93;151;775;5.1;2;;;;;;;;;
LeSean McCoy;KC;3.65;10.89;2.75;101;465;4.6;4;;;;;;;;;
Austin Ekeler;LAC;4.4;10.61;3.09;132;557;4.2;3;;;;;;;;;
Saquon Barkley;NYG;3.66;11.52;2.89;217;1003;4.6;6;;;;;;;;;
Jamaal Williams;GB;3.64;20.56;2.55;107;460;4.3;1;;;;;;;;;
Kenyan Drake;ARI;3.66;8.82;2.9;170;817;4.8;8;;;;;;;;;
Benny Snell;PIT;4.05;39.81;2.8;108;426;3.9;2;;;;;;;;;
Sony Michel;NE;4.25;33.6;2.7;247;912;3.7;7;;;;;;;;;
Devonta Freeman;ATL;4.59;22.83;2.92;184;656;3.6;2;;;;;;;;;
James Conner;PIT;4.07;13.79;2.87;116;464;4;4;;;;;;;;;
Matt Breida;SF;4.06;30.08;2.99;123;623;5.1;1;;;;;;;;;
Leonard Fournette;JAX;3.84;31.7;2.81;265;1152;4.3;3;;;;;;;;;
Raheem Mostert;SF;3.48;32.12;2.87;137;772;5.6;8;;;;;;;;;
Alexander Mattison;MIN;4.04;34;2.72;100;462;4.6;1;;;;;;;;;
Derrick Henry;TEN;3.45;35.31;2.78;303;1540;5.1;16;;;;;;;;;
Mark Ingram;BAL;3.34;22.28;2.77;202;1018;5;10;;;;;;;;;
Le'Veon Bell;NYJ;4.48;17.14;2.86;245;789;3.2;3;;;;;;;;;
Nick Chubb;CLE;3.55;13.09;2.98;298;1494;5;8;;;;;;;;;
Dalvin Cook;MIN;4.22;24;2.9;250;1135;4.5;13;;;;;;;;;
DeAndre Washington;LV;4.28;14.81;2.78;108;387;3.6;3;;;;;;;;;
Ronald Jones;TB;3.75;26.16;2.63;172;724;4.2;6;;;;;;;;;
Ezekiel Elliott;DAL;3.49;19.27;2.74;301;1357;4.5;12;;;;;;;;;
Jordan Howard;PHI;3.5;17.65;2.84;119;525;4.4;6;;;;;;;;;
Gus Edwards;BAL;2.93;22.56;2.61;133;711;5.3;2;;;;;;;;;
Phillip Lindsay;DEN;4.01;16.52;2.99;224;1011;4.5;7;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
