Rk;Player;Tm;Age;Pos;G;GS;Att;Yds;1D;YBC;YBC/Att;YAC;YAC/Att;BrkTkl;Att/Br
;;;;;;;;;;;;;;;
1;Christian McCaffrey *+;CAR;23;RB;16;16;287;1387;57;874;3.0;513;1.8;16;17.9
2;Lamar Jackson*+;BAL;22;QB;15;15;176;1206;71;867;4.9;339;1.9;3;58.7
3;Ezekiel Elliott*;DAL;24;RB;16;16;301;1357;78;678;2.3;679;2.3;24;12.5
4;Nick Chubb*;CLE;24;RB;16;16;298;1494;62;612;2.1;882;3.0;32;9.3
5;Phillip Lindsay;DEN;25;RB;16;16;224;1011;38;603;2.7;408;1.8;29;7.7
6;Marlon Mack;IND;23;RB;14;12;247;1091;67;591;2.4;500;2.0;12;20.6
7;Derrick Henry *;TEN;25;RB;15;15;303;1540;73;572;1.9;968;3.2;29;10.4
8;Aaron Jones;GNB;25;RB;16;16;236;1084;55;569;2.4;515;2.2;32;7.4
9;Dalvin Cook*;MIN;24;RB;14;14;250;1135;60;539;2.2;596;2.4;20;12.5
10;Carlos Hyde;HOU;29;RB;16;14;245;1070;55;525;2.1;545;2.2;22;11.1
11;Sony Michel;NWE;24;RB;16;14;247;912;55;521;2.1;391;1.6;16;15.4
12;Chris Carson;SEA;25;RB;15;15;278;1230;75;496;1.8;734;2.6;28;9.9
13;David Montgomery;CHI;22;rb;16;8;242;889;50;496;2.0;393;1.6;28;8.6
14;Mark Ingram*;BAL;30;RB;15;15;202;1018;53;494;2.4;524;2.6;18;11.2
15;Joe Mixon;CIN;23;RB;16;15;278;1137;56;492;1.8;645;2.3;24;11.6
16;Todd Gurley;LAR;25;RB;15;15;223;857;51;483;2.2;374;1.7;21;10.6
17;Kenyan Drake;2TM;25;;14;10;170;817;48;479;2.8;338;2.0;12;14.2
18;Raheem Mostert;SFO;27;;16;0;137;772;31;475;3.5;297;2.2;12;11.4
19;Josh Jacobs;OAK;21;RB;13;13;242;1150;53;467;1.9;683;2.8;26;9.3
20;Miles Sanders;PHI;22;RB;16;11;179;818;30;445;2.5;373;2.1;16;11.2
21;Kyler Murray;ARI;22;QB;16;16;93;544;27;445;4.8;99;1.1;4;23.3
22;Devin Singletary;BUF;22;RB;12;8;151;775;37;413;2.7;362;2.4;20;7.6
23;Matt Breida;SFO;24;rb;13;5;123;623;23;402;3.3;221;1.8;8;15.4
24;Saquon Barkley;NYG;22;RB;13;13;217;1003;45;398;1.8;605;2.8;16;13.6
25;Alvin Kamara*;NOR;24;RB;14;9;171;797;32;396;2.3;401;2.3;29;5.9
26;Latavius Murray;NOR;29;rb;16;8;146;637;38;390;2.7;247;1.7;11;13.3
27;Adrian Peterson;WAS;34;RB;15;15;211;898;41;374;1.8;524;2.5;7;30.1
28;Devonta Freeman;ATL;27;RB;14;14;184;656;31;363;2.0;293;1.6;11;16.7
29;Leonard Fournette;JAX;24;RB;15;15;265;1152;55;360;1.4;792;3.0;16;16.6
30;Tevin Coleman;SFO;26;RB;14;11;137;544;26;354;2.6;190;1.4;5;27.4
31;Deshaun Watson *;HOU;24;QB;15;15;82;413;29;351;4.3;62;0.8;3;27.3
32;Gus Edwards;BAL;24;;16;1;133;711;46;335;2.5;376;2.8;7;19.0
33;Melvin Gordon;LAC;26;RB;12;11;162;612;39;312;1.9;300;1.9;8;20.3
34;Ronald Jones II;TAM;22;RB;16;9;172;724;34;309;1.8;415;2.4;23;7.5
35;Russell Wilson *;SEA;31;QB;16;16;75;342;17;290;3.9;52;0.7;1;75.0
36;Le'Veon Bell;NYJ;27;RB;15;15;245;789;36;287;1.2;502;2.0;16;15.3
37;Jamaal Williams;GNB;24;;14;2;107;460;23;270;2.5;190;1.8;5;21.4
38;Josh Allen;BUF;23;QB;16;16;109;510;42;267;2.4;243;2.2;5;21.8
39;Alexander Mattison;MIN;21;;13;0;100;462;19;267;2.7;195;2.0;11;9.1
40;LeSean McCoy;KAN;31;RB;13;9;101;465;24;265;2.6;200;2.0;5;20.2
41;Frank Gore;BUF;36;rb;16;8;166;599;30;260;1.6;339;2.0;10;16.6
42;Gardner Minshew II;JAX;23;QB;14;12;67;344;20;256;3.8;88;1.3;2;33.5
43;Royce Freeman;DEN;23;;16;0;132;496;22;244;1.8;252;1.9;8;16.5
44;Jordan Howard;PHI;25;;10;4;119;525;28;243;2.0;282;2.4;4;29.8
45;Daniel Jones;NYG;22;QB;13;12;45;279;21;236;5.2;43;1.0;2;22.5
46;Austin Ekeler;LAC;24;rb;16;8;132;557;32;233;1.8;324;2.5;12;11.0
47;Peyton Barber;TAM;25;rb;16;7;154;470;23;204;1.3;266;1.7;8;19.3
48;James Conner;PIT;24;RB;10;10;116;464;26;199;1.7;265;2.3;5;23.2
49;Ryan Fitzpatrick;MIA;37;QB;15;13;54;243;16;195;3.6;48;0.9;3;18.0
50;Patrick Mahomes *;KAN;24;QB;14;14;43;218;15;194;4.5;24;0.6;1;43.0
51;Jameis Winston;TAM;25;QB;16;16;59;250;18;193;3.3;57;1.0;2;29.5
52;DeAndre Washington;OAK;26;;16;3;108;387;23;186;1.7;201;1.9;5;21.6
53;Rashaad Penny;SEA;23;;10;0;65;370;16;186;2.9;184;2.8;5;13.0
54;Jacoby Brissett;IND;27;QB;15;15;56;228;20;186;3.3;42;0.8;1;56.0
55;Bo Scarbrough;DET;23;rb;6;5;89;377;15;183;2.1;194;2.2;5;17.8
56;Chase Edmonds;ARI;23;;13;2;60;303;12;180;3.0;123;2.1;4;15.0
57;Dak Prescott;DAL;26;QB;16;16;52;277;19;178;3.4;99;1.9;7;7.4
58;Kerryon Johnson;DET;22;RB;8;7;113;403;22;177;1.6;226;2.0;8;14.1
59;David Johnson;ARI;28;rb;13;9;94;345;20;175;1.9;170;1.8;6;15.7
60;Duke Johnson;HOU;26;;16;2;83;410;17;175;2.1;235;2.8;8;10.4
61;Carson Wentz;PHI;27;QB;16;16;62;243;21;167;2.7;76;1.2;4;15.5
62;James White;NWE;27;;15;1;67;263;15;165;2.5;98;1.5;3;22.3
63;Brian Hill;ATL;24;;12;2;78;323;19;157;2.0;166;2.1;3;26.0
64;Rex Burkhead;NWE;29;;13;1;65;302;18;157;2.4;145;2.2;6;10.8
65;Ryan Tannehill*;TEN;31;QB;12;10;43;185;14;156;3.6;29;0.7;1;43.0
66;Aaron Rodgers *;GNB;36;QB;16;16;46;183;9;155;3.4;28;0.6;0;
67;Tony Pollard;DAL;22;;15;0;86;455;21;146;1.7;309;3.6;10;8.6
68;Damien Williams;KAN;27;rb;11;6;111;498;22;141;1.3;357;3.2;15;7.4
69;Jordan Wilkins;IND;25;;14;1;51;307;12;140;2.7;167;3.3;4;12.8
70;Mitchell Trubisky;CHI;25;QB;15;15;48;193;12;140;2.9;53;1.1;4;12.0
71;Boston Scott;PHI;24;;11;2;61;245;17;136;2.2;109;1.8;2;30.5
72;Tarik Cohen;CHI;24;RB;16;11;64;213;15;134;2.1;79;1.2;6;10.7
73;Matt Ryan;ATL;34;QB;15;15;34;147;10;133;3.9;14;0.4;0;
74;Jeff Driskel;DET;26;;3;3;22;151;10;126;5.7;25;1.1;1;22.0
75;Benny Snell Jr.;PIT;21;;13;2;108;426;19;125;1.2;301;2.8;7;15.4
76;Justice Hill;BAL;22;;16;0;58;225;10;125;2.2;100;1.7;3;19.3
77;Ty Johnson;DET;22;;16;1;63;273;11;120;1.9;153;2.4;5;12.6
78;Nyheim Hines;IND;23;;16;2;52;199;16;118;2.3;81;1.6;2;26.0
79;J.D. McKissic;DET;26;;16;3;38;205;8;112;2.9;93;2.4;3;12.7
80;Malcolm Brown;LAR;26;;14;1;69;255;16;110;1.6;145;2.1;10;6.9
81;Baker Mayfield;CLE;24;QB;16;16;28;141;15;110;3.9;31;1.1;2;14.0
82;Taysom Hill;NOR;29;wr;16;5;27;156;10;107;4.0;49;1.8;1;27.0
83;Deebo Samuel;SFO;23;WR;15;11;14;159;5;105;7.5;54;3.9;2;7.0
84;Curtis Samuel;CAR;23;WR;16;15;19;130;7;103;5.4;27;1.4;1;19.0
85;Jonathan Williams;IND;25;;9;1;49;235;13;102;2.1;133;2.7;7;7.0
86;Justin Jackson;LAC;24;;7;0;29;200;9;99;3.4;101;3.5;4;7.3
87;Marcus Mariota;TEN;26;qb;7;6;24;129;5;98;4.1;31;1.3;1;24.0
88;Mike Boone;MIN;24;;16;2;49;273;9;93;1.9;180;3.7;2;24.5
89;Reggie Bonnafon;CAR;23;;16;0;16;116;2;92;5.8;24;1.5;1;16.0
90;Mark Walton;MIA;22;;7;4;53;201;11;91;1.7;110;2.1;1;53.0
91;Jalen Richard;OAK;26;;16;0;39;145;10;90;2.3;55;1.4;0;
92;Patrick Laird;MIA;24;;15;4;62;168;9;86;1.4;82;1.3;5;12.4
93;Darrell Henderson;LAR;22;;13;0;39;147;10;84;2.2;63;1.6;7;5.6
94;Bilal Powell;NYJ;31;;13;1;59;229;12;82;1.4;147;2.5;4;14.8
95;Dion Lewis;TEN;29;;16;1;54;209;6;82;1.5;127;2.4;7;7.7
96;Travis Homer;SEA;21;;16;1;18;114;6;82;4.6;32;1.8;0;
97;Darrel Williams;KAN;24;;12;0;41;141;12;81;2.0;60;1.5;1;41.0
98;Kyle Allen;CAR;23;QB;13;12;32;106;9;81;2.5;25;0.8;2;16.0
99;Derek Carr;OAK;28;QB;16;16;27;82;7;81;3.0;1;0.0;0;
100;Cordarrelle Patterson*+;CHI;28;;16;4;17;103;4;81;4.8;22;1.3;3;5.7
